Participant ID,sex,Participant ID_y,"When planning a route, do you picture a map of your route or do you picture scenes of what you will see along the way? - Selected Choice","When planning a route, do you picture a map of your route or do you picture scenes of what you will see along the way? - Other: - Text",Do you consider yourself a good navigator?,Do you find it easy to read and use maps?,How often do you get disoriented while finding your way around?,"When thinking about a familiar street, how well can you picture the buildings along it?","Would you give directions to a friend in terms of landmarks (i.e. when you see the subway stop, turn left) or in terms of map directions (i.e. walk north four blocks, then turn left)? - Selected Choice","Would you give directions to a friend in terms of landmarks (i.e. when you see the subway stop, turn left) or in terms of map directions (i.e. walk north four blocks, then turn left)? - Other: - Text",Do you picture travelling a route on street level or from a bird's eye view? - Selected Choice,Do you picture travelling a route on street level or from a bird's eye view? - Other: - Text,"When navigating in an area you know well, do you usually just know where to go or do you need to look around at the surroundings to decide (e.g. coming out of a subway station)?","When traveling along a new route, do you usually remember what buildings you've passed?",Would you prefer to navigate using a list of directions or a map,Do you use landmarks (i.e. familiar buildings) to orient yourself when navigating?,"Do you find you're flexible navigating along routes (i.e. you can take new shortcuts easily, or do you prefer to follow the same path every time?",How easily could you draw a map of the city that you know?,"Do you think that you navigate by following a mental map, or working on scene at a time. - Selected Choice","Do you think that you navigate by following a mental map, or working on scene at a time. - Other: - Text",mapping_tendency
115,female,115,scene-based,,map-based,Somewhat,Somewhat Often,scene-based,scene-based,,scene-based,,map-based,map-based,scene-based,scene-based,scene-based,Somewhat easily,map-based,,-3
116,female,116,scene-based,,map-based,Somewhat,map-based,Somewhat clearly,scene-based,,scene-based,,Some of each,Somewhat,No preference,scene-based,Somewhat flexile,scene-based,scene-based,,-4
118,female,118,scene-based,,map-based,Somewhat,Somewhat Often,scene-based,scene-based,,scene-based,,map-based,scene-based,No preference,scene-based,Somewhat flexile,map-based,scene-based,,-4
119,female,119,scene-based,,scene-based,Somewhat,Somewhat Often,scene-based,scene-based,,scene-based,,Some of each,scene-based,scene-based,scene-based,Somewhat flexile,Somewhat easily,map-based,,-7
120,female,120,map-based,,map-based,Somewhat,map-based,Somewhat clearly,scene-based,,map-based,,map-based,Somewhat,scene-based,scene-based,scene-based,Somewhat easily,scene-based,,0
121,female,121,scene-based,,scene-based,scene-based,Somewhat Often,scene-based,scene-based,,scene-based,,map-based,map-based,scene-based,scene-based,scene-based,Somewhat easily,scene-based,,-8
123,female,123,Other:,Both,map-based,map-based,map-based,Somewhat clearly,scene-based,,scene-based,,map-based,scene-based,map-based,scene-based,map-based,Somewhat easily,map-based,,3
124,male,124,map-based,,scene-based,Somewhat,map-based,scene-based,scene-based,,scene-based,,map-based,scene-based,scene-based,scene-based,map-based,Somewhat easily,map-based,,-2
125,female,125,scene-based,,scene-based,scene-based,Somewhat Often,Somewhat clearly,scene-based,,scene-based,,map-based,Somewhat,scene-based,scene-based,scene-based,scene-based,scene-based,,-9
127,female,127,scene-based,,map-based,Somewhat,map-based,scene-based,scene-based,,scene-based,,Some of each,Somewhat,map-based,scene-based,Somewhat flexile,scene-based,scene-based,,-4
128,female,128,Other:,I picture a map with landmarks that I imagine as scenes.,scene-based,scene-based,Somewhat Often,scene-based,scene-based,,scene-based,,map-based,Somewhat,No preference,scene-based,Somewhat flexile,Somewhat easily,scene-based,,-6
129,female,129,scene-based,,scene-based,Somewhat,scene-based,Somewhat clearly,map-based,,Other:,A combination of both,map-based,map-based,scene-based,scene-based,scene-based,scene-based,scene-based,,-5
130,male,130,map-based,,scene-based,Somewhat,Somewhat Often,Somewhat clearly,scene-based,,map-based,,map-based,Somewhat,map-based,scene-based,Somewhat flexile,scene-based,map-based,,1
131,female,131,scene-based,,scene-based,Somewhat,Somewhat Often,Somewhat clearly,scene-based,,scene-based,,Some of each,Somewhat,map-based,scene-based,Somewhat flexile,Somewhat easily,scene-based,,-5
132,female,132,scene-based,,map-based,map-based,map-based,Somewhat clearly,scene-based,,scene-based,,Some of each,Somewhat,scene-based,scene-based,Somewhat flexile,Somewhat easily,map-based,,-1
133,female,133,scene-based,,scene-based,scene-based,Somewhat Often,map-based,scene-based,,scene-based,,Some of each,map-based,No preference,scene-based,scene-based,scene-based,scene-based,,-7
134,male,134,Other:,I visualize a path on a map as well as a mental image of locations familiar to me.,map-based,map-based,map-based,scene-based,Other:,"I like using map directions, but I find myself using landmarks as that is what people generally prefer to hear. Ultimately, if it were my choice I would opt to give map directions.",scene-based,,map-based,Somewhat,map-based,scene-based,map-based,Somewhat easily,Other:,"I feel like the development of my pathfinding abilities can be owed to minimaps featured in videogames; I navigate with a mix of visual landmarks as well as a continually present map, at least mentally.",3
135,male,135,scene-based,,map-based,map-based,map-based,scene-based,scene-based,,scene-based,,Some of each,scene-based,map-based,scene-based,map-based,map-based,map-based,,1
136,male,136,scene-based,,map-based,map-based,map-based,scene-based,map-based,,map-based,,map-based,Somewhat,map-based,scene-based,Somewhat flexile,Somewhat easily,map-based,,5
137,female,137,map-based,,map-based,Somewhat,map-based,Somewhat clearly,scene-based,,map-based,,Some of each,Somewhat,scene-based,scene-based,Somewhat flexile,Somewhat easily,map-based,,2
138,male,138,Other:,A Mix of Both,map-based,Somewhat,map-based,Somewhat clearly,Other:,I use a mix of both usually.,scene-based,,map-based,Somewhat,No preference,Sometimes,map-based,Somewhat easily,scene-based,,2
139,female,139,scene-based,,map-based,map-based,Somewhat Often,scene-based,scene-based,,scene-based,,map-based,scene-based,map-based,scene-based,map-based,scene-based,scene-based,,-3
141,male,141,scene-based,,scene-based,Somewhat,map-based,scene-based,scene-based,,map-based,,map-based,Somewhat,map-based,scene-based,scene-based,scene-based,scene-based,,-4
142,male,142,scene-based,,map-based,Somewhat,Somewhat Often,scene-based,scene-based,,scene-based,,Some of each,Somewhat,map-based,scene-based,map-based,Somewhat easily,scene-based,,-3
144,female,144,scene-based,,map-based,Somewhat,map-based,Somewhat clearly,Other:,both/what I know they are more familiar with,Other:,"combination of both, street level but higher (45 degree angle above?)",Some of each,Somewhat,map-based,Sometimes,map-based,Somewhat easily,map-based,,4
145,male,145,map-based,,map-based,map-based,map-based,scene-based,map-based,,map-based,,map-based,Somewhat,map-based,Sometimes,map-based,map-based,map-based,,10
146,female,146,scene-based,,scene-based,Somewhat,Somewhat Often,scene-based,scene-based,,scene-based,,map-based,scene-based,scene-based,scene-based,Somewhat flexile,scene-based,scene-based,,-9
147,female,147,scene-based,,scene-based,Somewhat,Somewhat Often,Somewhat clearly,scene-based,,scene-based,,Some of each,Somewhat,map-based,scene-based,Somewhat flexile,scene-based,scene-based,,-6
149,male,149,Other:,Both,map-based,map-based,map-based,Somewhat clearly,scene-based,,scene-based,,Some of each,Somewhat,No preference,Sometimes,Somewhat flexile,scene-based,Other:,Both,0
151,female,151,map-based,,scene-based,Somewhat,map-based,Somewhat clearly,map-based,,map-based,,scene-based,map-based,map-based,map-based,map-based,Somewhat easily,Other:,Both,6
153,female,153,scene-based,,scene-based,Somewhat,Somewhat Often,Somewhat clearly,scene-based,,map-based,,Some of each,map-based,No preference,scene-based,scene-based,scene-based,scene-based,,-5
156,female,156,scene-based,,scene-based,map-based,Somewhat Often,scene-based,scene-based,,map-based,,map-based,Somewhat,scene-based,scene-based,scene-based,Somewhat easily,scene-based,,-5
157,female,157,map-based,,map-based,Somewhat,map-based,Somewhat clearly,scene-based,,scene-based,,Some of each,Somewhat,map-based,scene-based,Somewhat flexile,scene-based,map-based,,1
158,female,158,Other:,Both? It's a mix,map-based,Somewhat,Somewhat Often,Somewhat clearly,scene-based,,scene-based,,map-based,Somewhat,scene-based,scene-based,Somewhat flexile,scene-based,scene-based,,-4
159,female,159,scene-based,,map-based,map-based,map-based,scene-based,scene-based,,scene-based,,Some of each,Somewhat,scene-based,Sometimes,map-based,Somewhat easily,scene-based,,-2
160,female,160,scene-based,,scene-based,scene-based,scene-based,Somewhat clearly,scene-based,,scene-based,,Some of each,map-based,scene-based,scene-based,scene-based,scene-based,scene-based,,-10
161,female,161,map-based,,map-based,map-based,map-based,Somewhat clearly,map-based,,map-based,,Some of each,Somewhat,map-based,Sometimes,Somewhat flexile,Somewhat easily,map-based,,8
162,female,162,scene-based,,map-based,Somewhat,map-based,scene-based,Other:,both/what I know they are more familiar with,scene-based,,scene-based,Somewhat,map-based,scene-based,Somewhat flexile,Somewhat easily,Other:,Both,-2
163,female,163,map-based,,map-based,Somewhat,map-based,Somewhat clearly,scene-based,,scene-based,,Some of each,Somewhat,map-based,scene-based,Somewhat flexile,scene-based,scene-based,,-1
164,female,164,map-based,,scene-based,Somewhat,scene-based,Somewhat clearly,Other:,"both, i might use a combination of street names and/or landmarks ",scene-based,,map-based,Somewhat,scene-based,scene-based,scene-based,scene-based,Other:,i use a mental map until i am less familiar with the area. Then i work on scene at a time,-5
165,female,165,scene-based,,map-based,Somewhat,Somewhat Often,scene-based,scene-based,,scene-based,,Some of each,scene-based,scene-based,scene-based,map-based,Somewhat easily,scene-based,,-6
167,male,167,Other:,I mainly separated the map into 2 sides. The objects on the side of the big red building vs the ones that weren't. I assigned objects to be opposites of each other if they were placed in the same location but on different sides.,scene-based,Somewhat,Somewhat Often,Somewhat clearly,Other:,Mostly map directions but when people need to turn into a parking lot I use landmarks.,Other:,A combination of both,map-based,map-based,map-based,Sometimes,Somewhat flexile,scene-based,map-based,,2
168,female,168,scene-based,,scene-based,scene-based,scene-based,Somewhat clearly,scene-based,,scene-based,,Some of each,map-based,scene-based,scene-based,Somewhat flexile,scene-based,scene-based,,-9
169,female,169,map-based,,map-based,map-based,map-based,scene-based,scene-based,,scene-based,,map-based,Somewhat,map-based,Sometimes,Somewhat flexile,map-based,map-based,,5
171,female,171,scene-based,,map-based,map-based,map-based,Somewhat clearly,scene-based,,scene-based,,Some of each,Somewhat,scene-based,scene-based,Somewhat flexile,Somewhat easily,scene-based,,-3
174,male,174,scene-based,,map-based,Somewhat,map-based,scene-based,scene-based,,map-based,,Some of each,Somewhat,scene-based,scene-based,Somewhat flexile,Somewhat easily,map-based,,-1
175,female,175,scene-based,,map-based,map-based,Somewhat Often,scene-based,scene-based,,map-based,,Some of each,scene-based,map-based,scene-based,map-based,map-based,scene-based,,0
176,female,176,scene-based,,scene-based,scene-based,Somewhat Often,scene-based,scene-based,,scene-based,,scene-based,Somewhat,scene-based,scene-based,Somewhat flexile,scene-based,scene-based,,-11
177,male,177,scene-based,,scene-based,Somewhat,Somewhat Often,scene-based,scene-based,,scene-based,,map-based,Somewhat,scene-based,scene-based,scene-based,scene-based,scene-based,,-9
178,male,178,map-based,,scene-based,map-based,scene-based,Somewhat clearly,scene-based,,scene-based,,map-based,Somewhat,map-based,scene-based,scene-based,scene-based,map-based,,-2
179,female,179,scene-based,,scene-based,Somewhat,Somewhat Often,scene-based,scene-based,,scene-based,,scene-based,Somewhat,scene-based,scene-based,scene-based,Somewhat easily,scene-based,,-10
180,female,180,scene-based,,scene-based,scene-based,scene-based,Somewhat clearly,scene-based,,scene-based,,scene-based,scene-based,No preference,scene-based,Somewhat flexile,scene-based,scene-based,,-11
181,female,181,scene-based,,scene-based,Somewhat,Somewhat Often,Somewhat clearly,scene-based,,scene-based,,Some of each,scene-based,map-based,scene-based,scene-based,scene-based,scene-based,,-8
182,male,182,scene-based,,map-based,map-based,map-based,scene-based,scene-based,,scene-based,,map-based,Somewhat,No preference,scene-based,map-based,scene-based,map-based,,0
184,female,184,scene-based,,map-based,map-based,map-based,scene-based,scene-based,,scene-based,,Some of each,scene-based,scene-based,scene-based,Somewhat flexile,Somewhat easily,scene-based,,-5
186,female,186,scene-based,,scene-based,Somewhat,map-based,Somewhat clearly,scene-based,,map-based,,Some of each,Somewhat,map-based,scene-based,Somewhat flexile,scene-based,scene-based,,-3
187,female,187,scene-based,,map-based,Somewhat,Somewhat Often,scene-based,scene-based,,map-based,,map-based,Somewhat,map-based,scene-based,map-based,Somewhat easily,scene-based,,0
188,female,188,map-based,,map-based,map-based,Somewhat Often,Somewhat clearly,scene-based,,scene-based,,Some of each,Somewhat,scene-based,scene-based,map-based,Somewhat easily,map-based,,1
189,male,189,Other:,Both,map-based,map-based,map-based,scene-based,scene-based,,Other:,Both,map-based,Somewhat,map-based,Sometimes,map-based,map-based,map-based,,6
190,female,190,scene-based,,map-based,Somewhat,Somewhat Often,scene-based,scene-based,,scene-based,,Some of each,scene-based,map-based,scene-based,Somewhat flexile,Somewhat easily,map-based,,-3
191,female,191,scene-based,,map-based,map-based,map-based,scene-based,scene-based,,map-based,,Some of each,scene-based,map-based,scene-based,map-based,map-based,map-based,,3
193,female,193,scene-based,,scene-based,Somewhat,Somewhat Often,Somewhat clearly,scene-based,,scene-based,,map-based,scene-based,map-based,scene-based,scene-based,Somewhat easily,map-based,,-4
194,male,194,map-based,,map-based,Somewhat,map-based,scene-based,scene-based,,map-based,,map-based,map-based,scene-based,scene-based,Somewhat flexile,Somewhat easily,scene-based,,1
195,male,195,scene-based,,map-based,map-based,map-based,Somewhat clearly,scene-based,,scene-based,,map-based,map-based,No preference,scene-based,Somewhat flexile,scene-based,scene-based,,-1
196,female,196,scene-based,,map-based,map-based,map-based,scene-based,scene-based,,scene-based,,Some of each,Somewhat,map-based,scene-based,map-based,Somewhat easily,scene-based,,-1
197,female,197,scene-based,,scene-based,scene-based,scene-based,scene-based,scene-based,,scene-based,,Some of each,map-based,scene-based,scene-based,scene-based,scene-based,map-based,,-9
